2026-07-26 17:11:56.682 | INFO     | services.gemini_client:parse_transcript:52 - Invoking Gemini API for transcript parsing (Attempt 1/3)...
2026-07-26 17:11:56.682 | INFO     | services.gemini_client:parse_transcript:64 - Successfully parsed and validated voice payload.
2026-07-26 17:11:56.686 | INFO     | services.supabase_client:__init__:23 - Supabase client initialized successfully.
2026-07-26 17:11:56.687 | ERROR    | services.supabase_client:fetch_all_assets:53 - Database fetch error: Database connection dropped
2026-07-26 17:26:46.908 | INFO     | services.cache_manager:clear_caches:27 - Successfully cleared static metadata caches.
2026-07-26 17:26:46.908 | INFO     | services.cache_manager:get_cached_metadata:14 - Cache miss for key: 'fiji_central_hub'. Loading static reference metadata.
2026-07-26 17:26:46.924 | INFO     | services.gemini_client:__init__:29 - GeminiVoiceParser initialized successfully.
2026-07-26 17:26:46.925 | INFO     | services.gemini_client:parse_transcript:52 - Invoking Gemini API for transcript parsing (Attempt 1/3)...
2026-07-26 17:26:46.925 | INFO     | services.gemini_client:parse_transcript:64 - Successfully parsed and validated voice payload.
2026-07-26 17:26:46.929 | INFO     | services.supabase_client:__init__:23 - Supabase client initialized successfully.
2026-07-26 17:26:46.929 | ERROR    | services.supabase_client:fetch_all_assets:53 - Database fetch error: Database connection dropped
2026-07-26 17:27:24.753 | INFO     | services.cache_manager:clear_caches:27 - Successfully cleared static metadata caches.
2026-07-26 17:27:24.753 | INFO     | services.cache_manager:get_cached_metadata:14 - Cache miss for key: 'fiji_central_hub'. Loading static reference metadata.
2026-07-26 17:27:24.767 | INFO     | services.gemini_client:__init__:29 - GeminiVoiceParser initialized successfully.
2026-07-26 17:27:24.768 | INFO     | services.gemini_client:parse_transcript:52 - Invoking Gemini API for transcript parsing (Attempt 1/3)...
2026-07-26 17:27:24.769 | INFO     | services.gemini_client:parse_transcript:64 - Successfully parsed and validated voice payload.
2026-07-26 17:27:24.772 | INFO     | services.supabase_client:__init__:23 - Supabase client initialized successfully.
2026-07-26 17:27:24.773 | ERROR    | services.supabase_client:fetch_all_assets:53 - Database fetch error: Database connection dropped
2026-07-26 17:34:35.031 | INFO     | services.cache_manager:clear_caches:27 - Successfully cleared static metadata caches.
2026-07-26 17:34:35.032 | INFO     | services.cache_manager:get_cached_metadata:14 - Cache miss for key: 'fiji_central_hub'. Loading static reference metadata.
2026-07-26 17:34:35.051 | INFO     | services.gemini_client:__init__:29 - GeminiVoiceParser initialized successfully.
2026-07-26 17:34:35.051 | INFO     | services.gemini_client:parse_transcript:52 - Invoking Gemini API for transcript parsing (Attempt 1/3)...
2026-07-26 17:34:35.052 | INFO     | services.gemini_client:parse_transcript:64 - Successfully parsed and validated voice payload.
2026-07-26 17:34:35.055 | INFO     | services.supabase_client:__init__:23 - Supabase client initialized successfully.
2026-07-26 17:34:35.055 | ERROR    | services.supabase_client:fetch_all_assets:53 - Database fetch error: Database connection dropped
2026-07-26 17:35:08.130 | INFO     | services.cache_manager:clear_caches:27 - Successfully cleared static metadata caches.
2026-07-26 17:35:08.131 | INFO     | services.cache_manager:get_cached_metadata:14 - Cache miss for key: 'fiji_central_hub'. Loading static reference metadata.
2026-07-26 17:35:08.150 | INFO     | services.gemini_client:__init__:29 - GeminiVoiceParser initialized successfully.
2026-07-26 17:35:08.150 | INFO     | services.gemini_client:parse_transcript:52 - Invoking Gemini API for transcript parsing (Attempt 1/3)...
2026-07-26 17:35:08.151 | INFO     | services.gemini_client:parse_transcript:64 - Successfully parsed and validated voice payload.
2026-07-26 17:35:08.154 | INFO     | services.supabase_client:__init__:23 - Supabase client initialized successfully.
2026-07-26 17:35:08.155 | ERROR    | services.supabase_client:fetch_all_assets:53 - Database fetch error: Database connection dropped
